file,model,language,strategy,retries,num_comp,temp,status,quality
1243.ts,incoder,ts,tree,1,10,0.8,failure,NA
1440.ts,incoder,ts,tree,1,10,1,failure,NA
1440.ts,incoder,ts,tree,1,10,0.8,failure,NA
77.ts,incoder,ts,tree,1,10,1,success,30
77.ts,incoder,ts,tree,1,10,0.8,success,35
1066.ts,incoder,ts,tree,1,10,1,timeout,NA
1066.ts,incoder,ts,tree,1,10,0.8,timeout,NA
946.ts,incoder,ts,tree,1,10,1,success,10
946.ts,incoder,ts,tree,1,10,0.8,success,5
1109.ts,incoder,ts,tree,1,10,1,success,30
1109.ts,incoder,ts,tree,1,10,0.8,success,40
964.ts,incoder,ts,tree,1,10,1,success,15
964.ts,incoder,ts,tree,1,10,0.8,success,25
361.ts,incoder,ts,tree,1,10,1,failure,NA
361.ts,incoder,ts,tree,1,10,0.8,failure,NA
492.ts,incoder,ts,tree,1,10,1,success,20
492.ts,incoder,ts,tree,1,10,0.8,success,10
331.ts,incoder,ts,tree,1,10,1,success,10
331.ts,incoder,ts,tree,1,10,0.8,success,10
569.ts,incoder,ts,tree,1,10,1,failure,NA
569.ts,incoder,ts,tree,1,10,0.8,failure,NA
1214.ts,incoder,ts,tree,1,10,1,failure,NA
1214.ts,incoder,ts,tree,1,10,0.8,failure,NA
580.ts,incoder,ts,tree,1,10,1,timeout,NA
580.ts,incoder,ts,tree,1,10,0.8,timeout,NA
604.ts,incoder,ts,tree,1,10,1,failure,NA
604.ts,incoder,ts,tree,1,10,0.8,failure,NA
126.ts,incoder,ts,tree,1,10,1,failure,NA
126.ts,incoder,ts,tree,1,10,0.8,failure,NA
1829.ts,incoder,ts,tree,1,10,1,success,35
1829.ts,incoder,ts,tree,1,10,0.8,success,40
867.ts,incoder,ts,tree,1,10,1,success,25
867.ts,incoder,ts,tree,1,10,0.8,success,15
497.ts,incoder,ts,tree,1,10,1,success,30
497.ts,incoder,ts,tree,1,10,0.8,success,15
782.ts,incoder,ts,tree,1,10,1,failure,NA
782.ts,incoder,ts,tree,1,10,0.8,failure,NA
1754.ts,incoder,ts,tree,1,10,1,success,15
1754.ts,incoder,ts,tree,1,10,0.8,success,15
788.ts,incoder,ts,tree,1,10,1,success,5
788.ts,incoder,ts,tree,1,10,0.8,success,5
922.ts,incoder,ts,tree,1,10,1,success,15
922.ts,incoder,ts,tree,1,10,0.8,success,15
995.ts,incoder,ts,tree,1,10,1,success,10
995.ts,incoder,ts,tree,1,10,0.8,success,10
1725.ts,incoder,ts,tree,1,10,1,success,10
1725.ts,incoder,ts,tree,1,10,0.8,success,5
305.ts,incoder,ts,tree,1,10,1,success,15
305.ts,incoder,ts,tree,1,10,0.8,success,5
221.ts,incoder,ts,tree,1,10,1,failure,NA
221.ts,incoder,ts,tree,1,10,0.8,failure,NA
725.ts,incoder,ts,tree,1,10,1,failure,NA
725.ts,incoder,ts,tree,1,10,0.8,failure,NA
1795.ts,incoder,ts,tree,1,10,1,success,25
1795.ts,incoder,ts,tree,1,10,0.8,timeout,NA
70.ts,incoder,ts,tree,1,10,1,failure,NA
70.ts,incoder,ts,tree,1,10,0.8,failure,NA
570.ts,incoder,ts,tree,1,10,1,success,10
570.ts,incoder,ts,tree,1,10,0.8,success,10
1403.ts,incoder,ts,tree,1,10,1,success,5
1403.ts,incoder,ts,tree,1,10,0.8,success,5
649.ts,incoder,ts,tree,1,10,1,success,15
649.ts,incoder,ts,tree,1,10,0.8,success,15
1368.ts,incoder,ts,tree,1,10,1,success,10
1368.ts,incoder,ts,tree,1,10,0.8,success,15
218.ts,incoder,ts,tree,1,10,1,timeout,NA
218.ts,incoder,ts,tree,1,10,0.8,timeout,NA
6.ts,incoder,ts,tree,1,10,1,success,10
6.ts,incoder,ts,tree,1,10,0.8,success,10
154.ts,incoder,ts,tree,1,10,1,failure,NA
