file,model,lang,strategy,retries,num_comp,temp,iters,successes,avg_quality
822.ts,codex,ts,simple,1,10,0.8,3,1,20.0
1368.ts,codex,ts,simple,2,5,1,3,3,1.6666666666666667
1368.ts,codex,ts,simple,1,10,0.8,3,1,0.0
782.ts,codex,ts,simple,2,5,1,3,0,NA
782.ts,codex,ts,simple,1,10,0.8,3,0,NA
788.ts,codex,ts,simple,2,5,1,3,3,0.0
788.ts,codex,ts,simple,1,10,0.8,3,2,0.0
1091.ts,codex,ts,simple,2,5,1,3,3,0.0
1091.ts,codex,ts,simple,1,10,0.8,3,2,0.0
1197.ts,codex,ts,simple,2,5,1,3,3,0.0
1197.ts,codex,ts,simple,1,10,0.8,3,3,0.0
1361.ts,codex,ts,simple,2,5,1,3,0,NA
1361.ts,codex,ts,simple,1,10,0.8,3,0,NA
1570.ts,codex,ts,simple,2,5,1,3,2,0.0
1570.ts,codex,ts,simple,1,10,0.8,3,2,0.0
1725.ts,codex,ts,simple,2,5,1,3,3,0.0
1725.ts,codex,ts,simple,1,10,0.8,3,2,2.5
1331.ts,codex,ts,simple,2,5,1,3,1,0.0
1331.ts,codex,ts,simple,1,10,0.8,3,1,0.0
675.ts,codex,ts,simple,2,5,1,3,3,0.0
675.ts,codex,ts,simple,1,10,0.8,3,3,0.0
954.ts,codex,ts,simple,2,5,1,3,0,NA
954.ts,codex,ts,simple,1,10,0.8,3,1,0.0
77.ts,codex,ts,simple,2,5,1,3,3,0.0
77.ts,codex,ts,simple,1,10,0.8,3,3,0.0
493.ts,codex,ts,simple,2,5,1,3,0,NA
493.ts,codex,ts,simple,1,10,0.8,3,0,NA
604.ts,codex,ts,simple,2,5,1,3,3,0.0
604.ts,codex,ts,simple,1,10,0.8,3,3,0.0
938.ts,codex,ts,simple,2,5,1,3,3,0.0
938.ts,codex,ts,simple,1,10,0.8,3,3,0.0
402.ts,codex,ts,simple,2,5,1,3,2,0.0
402.ts,codex,ts,simple,1,10,0.8,3,1,0.0
1764.ts,codex,ts,simple,2,5,1,3,2,0.0
1764.ts,codex,ts,simple,1,10,0.8,3,2,0.0
1217.ts,codex,ts,simple,2,5,1,3,0,NA
1217.ts,codex,ts,simple,1,10,0.8,3,0,NA
1727.ts,codex,ts,simple,2,5,1,3,3,5.0
1727.ts,codex,ts,simple,1,10,0.8,3,3,3.3333333333333335
126.ts,codex,ts,simple,2,5,1,3,3,0.0
126.ts,codex,ts,simple,1,10,0.8,3,3,0.0
523.ts,codex,ts,simple,2,5,1,3,3,0.0
523.ts,codex,ts,simple,1,10,0.8,3,3,0.0
1161.ts,codex,ts,simple,2,5,1,3,2,0.0
1161.ts,codex,ts,simple,1,10,0.8,3,3,3.3333333333333335
